municipality,citizenship_status,year,working_age_population
Vesthimmerlands,Foreign citizen,2010,1191
Vesthimmerlands,Foreign citizen,2011,1229
Vesthimmerlands,Foreign citizen,2012,1273
Vesthimmerlands,Foreign citizen,2013,1429
Vesthimmerlands,Foreign citizen,2014,1619
Vesthimmerlands,Foreign citizen,2015,1795
Vesthimmerlands,Foreign citizen,2016,1953
Vesthimmerlands,Foreign citizen,2017,2014
Vesthimmerlands,Foreign citizen,2018,2213
Vesthimmerlands,Foreign citizen,2019,2287
Vesthimmerlands,Foreign citizen,2020,2246
Vesthimmerlands,Foreign citizen,2021,2170
Vesthimmerlands,Foreign citizen,2022,2257
Vesthimmerlands,Foreign citizen,2023,2507
Vesthimmerlands,Foreign citizen,2024,2505
Vesthimmerlands,Foreign citizen,2025,2569
Vesthimmerlands,Foreign citizen,2026,2599
Viborg,Danish citizen,2008,57602
Viborg,Danish citizen,2009,57598
Viborg,Danish citizen,2010,57446
Viborg,Danish citizen,2011,57137
Viborg,Danish citizen,2012,56890
Viborg,Danish citizen,2013,56569
Viborg,Danish citizen,2014,56100
Viborg,Danish citizen,2015,55955
Viborg,Danish citizen,2016,55763
Viborg,Danish citizen,2017,55625
Viborg,Danish citizen,2018,55398
Viborg,Danish citizen,2019,55063
Viborg,Danish citizen,2020,54664
Viborg,Danish citizen,2021,54295
Viborg,Danish citizen,2022,54295
Viborg,Danish citizen,2023,54172
Viborg,Danish citizen,2024,54002
Viborg,Danish citizen,2025,53935
Viborg,Danish citizen,2026,53882
Viborg,Foreign citizen,2008,2320
Viborg,Foreign citizen,2009,2597
Viborg,Foreign citizen,2010,2751
Viborg,Foreign citizen,2011,2916
Viborg,Foreign citizen,2012,3037
Viborg,Foreign citizen,2013,3325
Viborg,Foreign citizen,2014,3600
Viborg,Foreign citizen,2015,3945
Viborg,Foreign citizen,2016,4442
Viborg,Foreign citizen,2017,4810
Viborg,Foreign citizen,2018,5149
Viborg,Foreign citizen,2019,5363
Viborg,Foreign citizen,2020,5377
Viborg,Foreign citizen,2021,5277
Viborg,Foreign citizen,2022,5431
Viborg,Foreign citizen,2023,6048
Viborg,Foreign citizen,2024,6037
Viborg,Foreign citizen,2025,6163
Viborg,Foreign citizen,2026,6389
Vordingborg,Danish citizen,2008,28440
Vordingborg,Danish citizen,2009,28185
Vordingborg,Danish citizen,2010,27799
Vordingborg,Danish citizen,2011,27451
Vordingborg,Danish citizen,2012,26942
Vordingborg,Danish citizen,2013,26456
Vordingborg,Danish citizen,2014,26121
Vordingborg,Danish citizen,2015,25994
Vordingborg,Danish citizen,2016,25827
Vordingborg,Danish citizen,2017,25677
Vordingborg,Danish citizen,2018,25514
Vordingborg,Danish citizen,2019,25255
Vordingborg,Danish citizen,2020,24889
Vordingborg,Danish citizen,2021,24587
Vordingborg,Danish citizen,2022,24276
Vordingborg,Danish citizen,2023,23900
Vordingborg,Danish citizen,2024,23681
Vordingborg,Danish citizen,2025,23243
Vordingborg,Danish citizen,2026,23016
Vordingborg,Foreign citizen,2008,1086
Vordingborg,Foreign citizen,2009,1094
Vordingborg,Foreign citizen,2010,1109
Vordingborg,Foreign citizen,2011,1153
Vordingborg,Foreign citizen,2012,1183
Vordingborg,Foreign citizen,2013,1184
Vordingborg,Foreign citizen,2014,1243
Vordingborg,Foreign citizen,2015,1432
Vordingborg,Foreign citizen,2016,1687
Vordingborg,Foreign citizen,2017,1862
Vordingborg,Foreign citizen,2018,1909
Vordingborg,Foreign citizen,2019,1858
Vordingborg,Foreign citizen,2020,1929
Vordingborg,Foreign citizen,2021,1918
Vordingborg,Foreign citizen,2022,2196
Vordingborg,Foreign citizen,2023,2566
Vordingborg,Foreign citizen,2024,3084
Vordingborg,Foreign citizen,2025,2775
Vordingborg,Foreign citizen,2026,2577
Ærø,Danish citizen,2008,3848
Ærø,Danish citizen,2009,3771
Ærø,Danish citizen,2010,3748
Ærø,Danish citizen,2011,3667
Ærø,Danish citizen,2012,3608
Ærø,Danish citizen,2013,3472
Ærø,Danish citizen,2014,3340
Ærø,Danish citizen,2015,3266
Ærø,Danish citizen,2016,3221
Ærø,Danish citizen,2017,3113
Ærø,Danish citizen,2018,3064
Ærø,Danish citizen,2019,2938
Ærø,Danish citizen,2020,2870
Ærø,Danish citizen,2021,2840
Ærø,Danish citizen,2022,2826
Ærø,Danish citizen,2023,2719
Ærø,Danish citizen,2024,2622
Ærø,Danish citizen,2025,2590
Ærø,Danish citizen,2026,2465
Ærø,Foreign citizen,2008,155
Ærø,Foreign citizen,2009,193
Ærø,Foreign citizen,2010,200
Ærø,Foreign citizen,2011,227
Ærø,Foreign citizen,2012,213
Ærø,Foreign citizen,2013,198
Ærø,Foreign citizen,2014,204
Ærø,Foreign citizen,2015,205
Ærø,Foreign citizen,2016,225
Ærø,Foreign citizen,2017,236
Ærø,Foreign citizen,2018,239
Ærø,Foreign citizen,2019,251
Ærø,Foreign citizen,2020,252
Ærø,Foreign citizen,2021,272
Ærø,Foreign citizen,2022,332
Ærø,Foreign citizen,2023,391
Ærø,Foreign citizen,2024,420
Ærø,Foreign citizen,2025,426
Ærø,Foreign citizen,2026,446
