kommune,citizenship,year,count
Aarhus,Mexico,2020,21
Aarhus,Moldova,2020,2
Aarhus,Morocco,2020,4
Aarhus,Myanmar,2020,1
Aarhus,Nepal,2020,14
Aarhus,Netherlands,2020,133
Aarhus,New Zealand,2020,21
Aarhus,Nigeria,2020,4
Aarhus,North Korea,2020,10
Aarhus,Norway,2020,260
Aarhus,Not stated,2020,3
Aarhus,Pakistan,2020,13
Aarhus,Panama,2020,2
Aarhus,Peru,2020,5
Aarhus,Philippines,2020,80
Aarhus,Poland,2020,218
Aarhus,Portugal,2020,71
Aarhus,Romania,2020,213
Aarhus,Russia,2020,37
Aarhus,Saudi Arabia,2020,4
Aarhus,Serbia,2020,4
Aarhus,Sierra Leone,2020,1
Aarhus,Singapore,2020,54
Aarhus,Slovakia,2020,50
Aarhus,Slovenia,2020,15
Aarhus,Somalia,2020,11
Aarhus,South Africa,2020,8
Aarhus,South Korea,2020,35
Aarhus,Spain,2020,266
Aarhus,Sri Lanka,2020,6
Aarhus,Stateless,2020,1
Aarhus,Sweden,2020,73
Aarhus,Switzerland,2020,39
Aarhus,Syria,2020,19
Aarhus,Taiwan,2020,27
Aarhus,Tanzania,2020,4
Aarhus,Thailand,2020,25
Aarhus,Turkey,2020,57
Aarhus,USA,2020,223
Aarhus,Uganda,2020,2
Aarhus,Ukraine,2020,26
Aarhus,United Arab Emirates,2020,1
Aarhus,United Kingdom,2020,157
Aarhus,Uruguay,2020,1
Aarhus,Uzbekistan,2020,2
Aarhus,Venezuela,2020,3
Aarhus,Vietnam,2020,15
Aarhus,Zambia,2020,1
Aarhus,Zimbabwe,2020,2
Albertslund,Afghanistan,2020,1
Albertslund,Argentina,2020,1
Albertslund,Bangladesh,2020,3
Albertslund,Belgium,2020,1
Albertslund,Bulgaria,2020,10
Albertslund,Cameroon,2020,2
Albertslund,Canada,2020,1
Albertslund,Chile,2020,1
Albertslund,China,2020,4
Albertslund,Croatia,2020,2
Albertslund,Czech Republic,2020,2
Albertslund,Denmark,2020,94
Albertslund,Estonia,2020,1
Albertslund,France,2020,1
Albertslund,Germany,2020,14
Albertslund,Greece,2020,2
Albertslund,Hungary,2020,1
Albertslund,Iceland,2020,1
Albertslund,India,2020,17
Albertslund,Iraq,2020,2
Albertslund,Italy,2020,5
Albertslund,Lithuania,2020,1
Albertslund,Nepal,2020,7
Albertslund,Netherlands,2020,1
Albertslund,Nigeria,2020,1
Albertslund,Norway,2020,2
Albertslund,Pakistan,2020,8
Albertslund,Poland,2020,11
Albertslund,Portugal,2020,6
Albertslund,Romania,2020,12
Albertslund,Russia,2020,1
Albertslund,Serbia,2020,1
Albertslund,Slovakia,2020,3
Albertslund,Slovenia,2020,1
Albertslund,Spain,2020,4
Albertslund,Sweden,2020,3
Albertslund,Turkey,2020,1
Albertslund,United Kingdom,2020,5
Albertslund,Uzbekistan,2020,1
Allerød,Canada,2020,1
Allerød,Denmark,2020,70
Allerød,Germany,2020,2
Allerød,Hungary,2020,1
